item_id,pair_id,PatientID,dataset_split,augmentation_status,augmentation_index,panel_a_path,panel_b_path,source_pair_id,is_augmented
W2PAIR_0011__original,W2PAIR_0011,LiverUS-106,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0011,False
W2PAIR_0012__original,W2PAIR_0012,LiverUS-107,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0012,False
W2PAIR_0013__original,W2PAIR_0013,LiverUS-107,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0013,False
W2PAIR_0014__original,W2PAIR_0014,LiverUS-107,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0014,False
W2PAIR_0015__original,W2PAIR_0015,LiverUS-110,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0015,False
W2PAIR_0016__original,W2PAIR_0016,LiverUS-110,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0016,False
W2PAIR_0017__original,W2PAIR_0017,LiverUS-110,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0017,False
W2PAIR_0018__original,W2PAIR_0018,LiverUS-110,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0018,False
W2PAIR_0019__original,W2PAIR_0019,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0019,False
W2PAIR_0020__original,W2PAIR_0020,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0020,False
W2PAIR_0021__original,W2PAIR_0021,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0021,False
W2PAIR_0022__original,W2PAIR_0022,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0022,False
W2PAIR_0023__original,W2PAIR_0023,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0023,False
W2PAIR_0024__original,W2PAIR_0024,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0024,False
W2PAIR_0025__original,W2PAIR_0025,LiverUS-118,val,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0025,False
W2PAIR_0026__original,W2PAIR_0026,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0026,False
W2PAIR_0027__original,W2PAIR_0027,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0027,False
W2PAIR_0028__original,W2PAIR_0028,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0028,False
W2PAIR_0029__original,W2PAIR_0029,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0029,False
W2PAIR_0030__original,W2PAIR_0030,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0030,False
W2PAIR_0031__original,W2PAIR_0031,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0031,False
W2PAIR_0032__original,W2PAIR_0032,LiverUS-63,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0032,False
W2PAIR_0033__original,W2PAIR_0033,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0033,False
W2PAIR_0034__original,W2PAIR_0034,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0034,False
W2PAIR_0035__original,W2PAIR_0035,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0035,False
W2PAIR_0036__original,W2PAIR_0036,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0036,False
W2PAIR_0037__original,W2PAIR_0037,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0037,False
W2PAIR_0038__original,W2PAIR_0038,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0038,False
W2PAIR_0039__original,W2PAIR_0039,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0039,False
W2PAIR_0040__original,W2PAIR_0040,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0040,False
W2PAIR_0041__original,W2PAIR_0041,LiverUS-73,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0041,False
W2PAIR_0042__original,W2PAIR_0042,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0042,False
W2PAIR_0043__original,W2PAIR_0043,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0043,False
W2PAIR_0044__original,W2PAIR_0044,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0044,False
W2PAIR_0045__original,W2PAIR_0045,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0045,False
W2PAIR_0046__original,W2PAIR_0046,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0046,False
W2PAIR_0047__original,W2PAIR_0047,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0047,False
W2PAIR_0048__original,W2PAIR_0048,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0048,False
W2PAIR_0049__original,W2PAIR_0049,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0049,False
W2PAIR_0050__original,W2PAIR_0050,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0050,False
W2PAIR_0051__original,W2PAIR_0051,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0051,False
W2PAIR_0052__original,W2PAIR_0052,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0052,False
W2PAIR_0053__original,W2PAIR_0053,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0053,False
W2PAIR_0054__original,W2PAIR_0054,LiverUS-76,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0054,False
W2PAIR_0055__original,W2PAIR_0055,LiverUS-84,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0055,False
W2PAIR_0056__original,W2PAIR_0056,LiverUS-84,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0056,False
W2PAIR_0057__original,W2PAIR_0057,LiverUS-84,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0057,False
W2PAIR_0058__original,W2PAIR_0058,LiverUS-84,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0058,False
W2PAIR_0059__original,W2PAIR_0059,LiverUS-84,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0059,False
